"synID","syncom","strain","dpi","taxa","mean","sd","cv"
"C","C.01","meL85","07dpi","Methylobacterium",6.72327739568232,0.443443141681693,6.5956395309001
"C","C.01","meL85","14dpi","Methylobacterium",7.221829948239,0.344540387401339,4.77081833649868
"C","C.04","meL92","07dpi","Methylobacterium",7.26934474849542,0.390529046249937,5.37227301443871
"C","C.04","meL92","14dpi","Methylobacterium",7.05776438968583,0.632799513419617,8.96600507583373
"C","C.07","mr01","07dpi","Methylobacterium",7.10050867021056,0.628731161062317,8.85473407982856
"C","C.07","mr01","14dpi","Methylobacterium",7.37814651257524,0.240696053232967,3.26228345862646
"C","C.10","smfr1","07dpi","Sphingomonas",6.76889356308783,0.538710718753978,7.95862298222088
"C","C.10","smfr1","14dpi","Sphingomonas",6.74454402767891,0.851775049519905,12.6290976235652
"C","C.13","spfa2","07dpi","Sphingomonas",7.35206510896459,0.144924421022353,1.97120698571674
"C","C.13","spfa2","14dpi","Sphingomonas",7.85323864231173,0.283777539056266,3.61350968665753
"S2","S2.02","meL85","07dpi","Methylobacterium",6.44867902970755,0.379335851848435,5.88238071860802
"S2","S2.02","meL85","14dpi","Methylobacterium",6.66643140983543,0.21268593248605,3.19040157185537
"S2","S2.02","mr01","07dpi","Methylobacterium",7.48145912341804,0.231470617757029,3.09392344379043
"S2","S2.02","mr01","14dpi","Methylobacterium",7.87924650707294,0.115301167705705,1.46335271529077
"S2","S2.03","meL85","07dpi","Methylobacterium",6.30312326533988,0.822945322392128,13.0561514942506
"S2","S2.03","meL85","14dpi","Methylobacterium",6.71248513036355,0.230385192482001,3.4321892415056
"S2","S2.03","meL92","07dpi","Methylobacterium",7.00795204525727,0.122821086799863,1.75259599390358
"S2","S2.03","meL92","14dpi","Methylobacterium",7.34206517928147,0.908370963437105,12.3721451833529
"S2","S2.05","meL92","07dpi","Methylobacterium",7.09068496905274,0.361935234603957,5.10437618063166
"S2","S2.05","meL92","14dpi","Methylobacterium",7.6287863114306,0.626471784652511,8.21194563693357
"S2","S2.05","mr01","07dpi","Methylobacterium",7.26889840187002,0.192727943234379,2.65140510403609
"S2","S2.05","mr01","14dpi","Methylobacterium",8.04384169994562,0.162588836243321,2.0212833905523
"S2","S2.06","meL92","07dpi","Methylobacterium",6.92772224235839,0.173772261025304,2.50836068401823
"S2","S2.06","meL92","14dpi","Methylobacterium",7.34899114192047,0.898856347398173,12.2310168843567
"S2","S2.06","smfr1","07dpi","Sphingomonas",7.7942892401222,0.529766351363016,6.79685260634119
"S2","S2.06","smfr1","14dpi","Sphingomonas",7.67219901695977,0.82832919161745,10.7965029294259
"S2","S2.08","meL85","07dpi","Methylobacterium",6.93853588673229,0.286709168066915,4.1321277679799
"S2","S2.08","meL85","14dpi","Methylobacterium",7.28912809957189,0.176655138719599,2.42354279286125
"S2","S2.08","smfr1","07dpi","Sphingomonas",7.86142491660113,0.146552414812223,1.86419658480418
"S2","S2.08","smfr1","14dpi","Sphingomonas",7.84396313713971,0.271340588788992,3.45922825037568
"S2","S2.09","mr01","07dpi","Methylobacterium",7.78256939213457,0.180940273089859,2.32494262463918
"S2","S2.09","mr01","14dpi","Methylobacterium",7.70730915100368,0.12000760156819,1.55706225372524
"S2","S2.09","smfr1","07dpi","Sphingomonas",7.6124145541481,0.0954517882052175,1.25389634952559
"S2","S2.09","smfr1","14dpi","Sphingomonas",7.95582670113756,0.373684796201972,4.69699517397156
"S2","S2.11","smfr1","07dpi","Sphingomonas",7.61978894336377,0.245990235700487,3.22830773304718
"S2","S2.11","smfr1","14dpi","Sphingomonas",7.57909464793537,0.163710637283906,2.16002893338326
"S2","S2.11","spfa2","07dpi","Sphingomonas",7.76092907240043,0.216276924716806,2.78674012736354
"S2","S2.11","spfa2","14dpi","Sphingomonas",7.83774822181872,0.110987821230148,1.41606770323624
"S2","S2.12","meL85","07dpi","Methylobacterium",6.80551610723085,0.375786417568866,5.52179161209528
"S2","S2.12","meL85","14dpi","Methylobacterium",7.7363304206216,0.207335426470722,2.68002289455035
"S2","S2.12","spfa2","07dpi","Sphingomonas",7.57668560915159,0.258164051772013,3.40734808186031
"S2","S2.12","spfa2","14dpi","Sphingomonas",7.84532027708953,0.0914076298394811,1.16512298556397
"S2","S2.14","mr01","07dpi","Methylobacterium",7.28179495878044,0.229085357812923,3.14600121411947
"S2","S2.14","mr01","14dpi","Methylobacterium",8.26428158467506,0.448430695638805,5.42613040279698
"S2","S2.14","spfa2","07dpi","Sphingomonas",7.67553679900555,0.209758301741295,2.73281605227235
"S2","S2.14","spfa2","14dpi","Sphingomonas",8.1215688439881,0.155432058545287,1.91381814931415
"S2","S2.15","meL92","07dpi","Methylobacterium",6.8143780191742,0.236897097433907,3.47643022983653
"S2","S2.15","meL92","14dpi","Methylobacterium",7.94468578974223,0.214461976757891,2.69943937914817
"S2","S2.15","spfa2","07dpi","Sphingomonas",7.65683979226262,0.174630584121304,2.28071356929489
"S2","S2.15","spfa2","14dpi","Sphingomonas",8.23534012270875,0.254168930933172,3.08631977727681
"S3","S3.01","meL85","07dpi","Methylobacterium",5.06223557993032,0.527904319632982,10.4282843280922
"S3","S3.01","meL85","14dpi","Methylobacterium",5.08990920245831,1.30769149788922,25.6918433291036
"S3","S3.01","smfr1","07dpi","Sphingomonas",6.87920385291611,0.343160606139929,4.98837675808171
"S3","S3.01","smfr1","14dpi","Sphingomonas",7.06708646723211,0.326621408123469,4.62172650126627
"S3","S3.01","spfa2","07dpi","Sphingomonas",7.07599924307248,0.365745834103285,5.16882240287626
"S3","S3.01","spfa2","14dpi","Sphingomonas",7.24010580590348,0.278072063799872,3.84071823333212
"S3","S3.02","meL92","07dpi","Methylobacterium",6.131670566321,0.44684223204036,7.28744682557963
"S3","S3.02","meL92","14dpi","Methylobacterium",6.34724015260197,0.326159028147925,5.13859599300368
"S3","S3.02","smfr1","07dpi","Sphingomonas",6.79401681418166,0.447502870796861,6.58672009558109
"S3","S3.02","smfr1","14dpi","Sphingomonas",7.28973394857716,0.216847028260909,2.97469056882705
"S3","S3.02","spfa2","07dpi","Sphingomonas",6.88476648364993,0.473290774971215,6.87446373228773
"S3","S3.02","spfa2","14dpi","Sphingomonas",7.2109963556775,0.185106240138306,2.56699949643665
"S3","S3.03","mr01","07dpi","Methylobacterium",6.38476405273322,0.281859190048727,4.41455921817608
"S3","S3.03","mr01","14dpi","Methylobacterium",6.746431494137,0.175748192333821,2.60505413101067
"S3","S3.03","smfr1","07dpi","Sphingomonas",6.85673140358423,0.274075388322868,3.9971725912962
"S3","S3.03","smfr1","14dpi","Sphingomonas",7.31911481645585,0.11377827169806,1.55453595894202
"S3","S3.03","spfa2","07dpi","Sphingomonas",6.74131854609298,0.37277016286278,5.52963282055294
"S3","S3.03","spfa2","14dpi","Sphingomonas",7.22560195915962,0.220263961505799,3.04838216595337
"S3","S3.04","meL85","07dpi","Methylobacterium",5.43583288392996,0.621424902731485,11.4320089671743
"S3","S3.04","meL85","14dpi","Methylobacterium",6.05741969713,0.274056891813996,4.52431737467099
"S3","S3.04","meL92","07dpi","Methylobacterium",6.1467328445803,0.304559498612254,4.95481919115437
"S3","S3.04","meL92","14dpi","Methylobacterium",6.98351142178212,0.224492707973648,3.21461073684848
"S3","S3.04","smfr1","07dpi","Sphingomonas",7.18010605870948,0.223270036393544,3.10956460208156
"S3","S3.04","smfr1","14dpi","Sphingomonas",7.2746908225749,0.149741937690683,2.05839590084025
"S3","S3.05","meL85","07dpi","Methylobacterium",5.53128146434231,0.195824131744712,3.54030314687659
"S3","S3.05","meL85","14dpi","Methylobacterium",5.81897929012463,0.273994035139828,4.70862708868584
"S3","S3.05","mr01","07dpi","Methylobacterium",6.55351387801603,0.154306064875245,2.35455463660297
"S3","S3.05","mr01","14dpi","Methylobacterium",6.83858003084564,0.268512657472202,3.92643876742053
"S3","S3.05","smfr1","07dpi","Sphingomonas",6.91339287447221,0.337202241950168,4.87752176207563
"S3","S3.05","smfr1","14dpi","Sphingomonas",7.20123907207103,0.262418339676765,3.64407204163679
"S3","S3.06","meL92","07dpi","Methylobacterium",5.99326525994609,0.154387788742279,2.5760212846589
"S3","S3.06","meL92","14dpi","Methylobacterium",NA,NA,NA
"S3","S3.06","mr01","07dpi","Methylobacterium",6.29128224162865,0.268159168412729,4.26239291313863
"S3","S3.06","mr01","14dpi","Methylobacterium",6.45738687934774,0.400706429640944,6.2053960391083
"S3","S3.06","smfr1","07dpi","Sphingomonas",6.84792692611716,0.264022121860707,3.85550436955977
"S3","S3.06","smfr1","14dpi","Sphingomonas",7.30535122343572,0.117870347798624,1.61347954661637
"S3","S3.07","meL85","07dpi","Methylobacterium",4.82829960364184,0.369898427820924,7.66104960723483
"S3","S3.07","meL85","14dpi","Methylobacterium",4.78400965687276,0.900729137276987,18.8279121883249
"S3","S3.07","meL92","07dpi","Methylobacterium",5.70378412306637,0.583123653839073,10.2234523827943
"S3","S3.07","meL92","14dpi","Methylobacterium",6.41529387660792,0.181629325522198,2.83119260030273
"S3","S3.07","spfa2","07dpi","Sphingomonas",7.01928965695247,0.231386391586479,3.29643600556212
"S3","S3.07","spfa2","14dpi","Sphingomonas",7.17605405863615,0.152070719133406,2.11914121452853
"S3","S3.08","meL85","07dpi","Methylobacterium",4.76440266549739,0.502360648195577,10.5440426316933
"S3","S3.08","meL85","14dpi","Methylobacterium",4.62522081206906,0.759814944857276,16.4276469325446
"S3","S3.08","mr01","07dpi","Methylobacterium",6.12760880475241,0.769304035131267,12.5547184822669
"S3","S3.08","mr01","14dpi","Methylobacterium",6.44669438354678,0.378368084397168,5.8691797979882
"S3","S3.08","spfa2","07dpi","Sphingomonas",6.99569729933957,0.452381435562013,6.46656675103309
"S3","S3.08","spfa2","14dpi","Sphingomonas",7.01539907588264,0.372028149708727,5.30302190487888
"S3","S3.09","meL92","07dpi","Methylobacterium",5.7354830678405,0.232226789633676,4.048949092637
"S3","S3.09","meL92","14dpi","Methylobacterium",5.92151197591133,0.245896754700448,4.1526008171689
"S3","S3.09","mr01","07dpi","Methylobacterium",6.29748721186326,0.333409353227647,5.29432362481924
"S3","S3.09","mr01","14dpi","Methylobacterium",6.58295062741525,0.300519989235894,4.56512597837744
"S3","S3.09","spfa2","07dpi","Sphingomonas",6.92228444800577,0.371257693084608,5.36322504331013
"S3","S3.09","spfa2","14dpi","Sphingomonas",7.2371729117863,0.126299825192317,1.74515417458975
"S3","S3.10","meL85","07dpi","Methylobacterium",4.98673325976947,0.699784834364383,14.032930937171
"S3","S3.10","meL85","14dpi","Methylobacterium",5.39101248134191,0.607698470126067,11.2724367125709
"S3","S3.10","meL92","07dpi","Methylobacterium",5.91509510099666,0.678550250380997,11.4715019588893
"S3","S3.10","meL92","14dpi","Methylobacterium",6.28078265777769,0.637375685074288,10.1480296294763
"S3","S3.10","mr01","07dpi","Methylobacterium",5.8183533970515,0.70843683281187,12.1758989952531
"S3","S3.10","mr01","14dpi","Methylobacterium",6.29009289857292,0.283385720631664,4.50527083146829
